ranking,World Rank,University,Rank
1,18,University of Toronto,5
2,29,University of British Columbia,5
3,55,McGill University,5
4,69,University of Alberta,5
5,90,University of Waterloo,5
6,102,University of Calgary,5
7,137,Simon Fraser University,5
8,142,McMaster University,5
9,165,Université de Montréal,5
10,169,Western University (University of Western Ontario),5
11,189,Queen's University Kingston,5
12,197,Université d'Ottawa / University of Ottawa,5
13,200,University of Victoria British Columbia,5
14,215,York University,5
15,233,Dalhousie University,5
16,256,Université Laval,5
17,265,University of Manitoba,5
18,287,University of Saskatchewan,5
19,312,University of Guelph,5
20,335,Carleton University,5
21,370,Concordia University Montréal,5
22,440,Memorial University of Newfoundland,5
23,449,Université du Québec Montréal,5
24,469,Ryerson University,5
25,547,Université de Sherbrooke,5
26,627,University of Windsor,5
27,638,University of New Brunswick,5
28,716,École Polytechnique de Montréal,5
29,748,University of Regina,5
30,771,Brock University,5
31,858,Wilfrid Laurier University,5
32,981,Lakehead University,5
33,1034,University of Lethbridge,5
34,1055,Université INRS Institut National de la Recherche Scientifique,5
35,1135,École de Technologie Supérieure,5
36,1136,HEC Montréal École de Gestion,5
37,1146,University of Winnipeg,5
38,1158,Trent University,5
39,1191,Université du Québec,5
40,1307,Université du Québec Chicoutimi,5
41,1354,Athabasca University,5
42,1385,(1) Université Laurentienne / Laurentian University,5
43,1389,Saint Mary's University,5
44,1416,Université du Québec Trois-Rivieres,5
45,1435,Saint Francis Xavier University,5
46,1452,University of Prince Edward Island,5
47,1487,Acadia University,5
48,1506,University of Northern British Columbia,5
49,1751,Université de Moncton,5
50,1754,Mount Allison University,5
51,1808,Thompson Rivers University,5
52,2032,Université du Québec Rimouski,5
53,2036,Université du Québec Outaouais,5
54,2104,Mount Royal University,5
55,2281,Nipissing University,5
56,2529,Bishop's University,5
57,2602,Brandon University,5
58,2630,Mount Saint Vincent University,5
59,2756,Cape Breton University,5
60,3052,Royal Military College of Canada,5
61,3082,Northern Ontario School of Medicine (Laurentian University Lakehead University),5
62,3219,Trinity Western University,5
63,3549,Université du Québec Abitibi-Temiscamingue,5
64,3599,British Columbia Institute of Technology,5
65,4097,Canadian Memorial Chiropractic College,5
66,4139,Vancouver Island University (Malaspina),5
67,4223,Royal Roads University,5
68,4288,MacEwan University (Grant MacEwan College),5
69,4345,Seneca College,5
70,4470,University of the Fraser Valley,5
71,4481,Humber College,5
72,4492,OCAD University (Ontario College of Art & Design),5
73,4531,Saint Thomas University,5
74,4619,Sheridan College Institute of Technology and Advanced Learning,5
75,4670,Kwantlen Polytechnic University (Kwantlen University College),4
76,4784,Algonquin College,4
77,4890,Centennial College Toronto,4
78,4951,George Brown College,4
79,5022,Okanagan College,4
80,5077,Université Saint Paul,4
81,5179,Tele-Université TÉLUQ,4
82,5184,Conestoga College,4
83,5318,Nothern Alberta Institute of Technology,4
84,5379,Langara College,4
85,5454,Douglas College,4
86,5488,Capilano University,4
87,5648,Concordia University of Edmonton,4
88,5693,Algoma University,4
89,6150,Bow Valley College,4
90,6150,Mohawk College,4
91,6206,École Nationale d'Administration Publique,4
92,6293,Southern Alberta Institute of Technology,4
93,6409,Fanshawe College,4
94,6413,Niagara College,4
95,6527,Vancouver Community College,4
96,6624,Georgian College,4
97,6647,Quest University,4
98,6696,Redeemer University,4
99,6758,Vanier College,4
100,6833,Durham College,4
101,6880,Camosun College,4
102,6979,Cégep du Vieux Montréal,4
103,7012,Cégep de Rimouski,4
104,7135,Dawson College Westmount Montreal,4
105,7160,Marianopolis College,4
106,7174,Red River College,4
107,7285,Red Deer College,4
108,7323,Fleming College,4
109,7356,Saskatchewan Polytechnic,4
110,7495,Yukon College,4
111,7554,Nova Scotia Community College,4
112,7687,(1) Selkirk College,4
113,7720,Saint Clair College,4
