ranking,World Rank,University,Rank
1,96,Technische Universität München,5
2,98,Ludwig Maximilians Universität München,5
3,99,Ruprecht Karls Universität Heidelberg,5
4,151,Karlsruhe Institute of Technology (Universität Karlsruhe),5
5,157,Universität Hamburg,5
6,159,Rheinisch Westfalische Technische Hochschule Aachen,5
7,161,Rheinische Friedrich Wilhelms Universität Bonn,5
8,195,Freie Universität Berlin,5
9,199,Technische Universität Dresden,5
10,209,Universität Freiburg,5
11,217,Universität Tubingen,5
12,228,Humboldt Universität zu Berlin,5
13,233,Universität Münster,5
14,240,Universität zu Köln,5
15,249,Technische Universität Berlin,5
16,257,Johannes Gutenberg Universität Mainz,5
17,266,Georg-August-Universität Göttingen,5
18,276,(1) Friedrich Alexander Universität Erlangen Nürnberg FAU,5
19,294,Universität Leipzig,5
20,294,Universität Würzburg,5
21,316,Universität Duisburg Essen,5
22,343,Universität Stuttgart,5
23,349,Charité Universitätsmedizin Berlin,5
24,354,Christian Albrechts Universität zu Kiel,5
25,355,Technische Universität Darmstadt,5
26,356,Friedrich Schiller Universität Jena,5
27,377,Universität Bremen,5
28,381,Ruhr Universität Bochum,5
29,390,Universität Ulm,5
30,411,Universität Hannover,5
31,414,Universität des Saarlandes,5
32,415,Heinrich Heine Universität Düsseldorf,5
33,422,Philipps Universität Marburg,5
34,431,Justus Liebig Universität Giessen,5
35,436,Universität Regensburg,5
36,444,Universität Potsdam,5
37,446,Universität Bielefeld,5
38,515,Universität Konstanz,5
39,541,Martin Luther Universität Halle Wittenberg,5
40,556,Technische Universität Dortmund,5
41,559,Universität Rostock,5
42,567,Universität Bayreuth,5
43,613,Technische Universität Kaiserslautern,5
44,685,Universität Mannheim,5
45,692,Technische Universität Chemnitz,5
46,696,Ernst Moritz Arndt Universität Greifswald,5
47,735,Universität Siegen,5
48,745,Technische Universität Braunschweig,5
49,746,Universität Kassel,5
50,746,Medizinische Hochschule Hannover,5
51,761,Universität Hohenheim,5
52,782,Bergische Universität Wuppertal,5
53,784,(2) Universität Trier,5
54,786,(1) Otto Von Guericke Universität Magdeburg,5
55,799,Universität Paderborn,5
56,875,Universität zu Lubeck,5
57,890,Universität Augsburg,5
58,927,Universität Osnabruck,5
59,965,Carl Von Ossietzky Universität Oldenburg,5
60,993,Technische Universität Ilmenau,5
61,1061,Leuphana Universität Lüneburg,5
62,1077,Technische Universität Hamburg Harburg,5
63,1189,Technische Universität Bergakademie Freiberg,5
64,1194,Universität Passau,5
65,1220,Universität Otto Friedrich Universität Bamberg,5
66,1257,Universitätsmedizin Mainz,5
67,1299,Bauhaus Universität Weimar,5
68,1319,Technische Universität Clausthal,5
69,1348,International Max Planck Research School for Astronomy and Cosmic Physics at the University of Heidelberg,5
70,1477,Universität Witten Herdecke,5
71,1525,Brandenburgische Technische Universität Cottbus,5
72,1543,Hasso Plattner Institute,5
73,1648,FernUniversität in Hagen,5
74,1657,Universität der Bundeswehr München,5
75,1742,Stiftung Tierärztliche Hochschule Hannover,5
76,1808,Deutsche Sporthochschule Köln,5
77,1881,Helmut Schmidt Universität,5
78,1969,Otto Beisheim Graduate School of Management,5
79,1999,Hochschule für Angewandte Wissenschaften Hamburg,5
80,2024,Hochschule München,5
81,2206,Universität Hildesheim,5
82,2229,Universität Erfurt,5
83,2263,Universität Koblenz Landau,5
84,2291,Katholische Universität Eichstätt Ingolstadt,5
85,2350,Europa Universität Viadrina Frankfurt Oder,5
86,2360,Hertie School of Governance,5
87,2403,Hochschule Furtwangen,5
88,2462,Jacobs University Bremen,5
89,2515,Hochschule für Technik und Wirtschaft Berlin,5
90,2628,Hochschule Darmstadt,5
91,2653,Fachhochschule Münster,5
92,2705,Hochschule Reutlingen,5
93,2727,Beuth Hochschule für Technik Berlin,4
94,2789,Hochschule Osnabrück,4
95,2917,Hochschule fur Wirtschaft und Recht Berlin,4
96,2929,Hochschule Karlsruhe,4
97,3048,Hochschule Fulda,4
98,3240,Europa Universität Flensburg,4
99,3276,Hochschule Flensburg,4
100,3292,International Max Planck Research School for Astronomy and Astrophysics,4
101,3345,Frankfurt School of Finance & Management,4
102,3346,Hochschule Mannheim,4
103,3360,Hochschule für Technik und Wirtschaft Dresden,4
104,3382,Hochschule Bremen,4
105,3695,Fachhochschule Aachen,4
106,3718,Fachhochschule Sudwestfalen,4
107,3741,Pädagogische Hochschule Heidelberg,4
108,3774,Technische Hochschule Köln / TH Köln University of Applied Sciences,4
109,3820,Hochschule der Medien Stuttgart,4
110,3833,Hochschule Worms,4
111,3869,Hochschule Augsburg,4
112,3938,Fachhochschule Dortmund,4
113,4165,Hochschule für Technik Stuttgart,4
114,4211,Frankfurt Institute for Advanced Studies,4
115,4295,Hochschule Wismar,4
116,4335,Ernst-Abbe-Hochschule Jena (Fachhochschule Jena),4
117,4418,Technische Hochschule Mittelhessen (Fachhochschule Giessen Friedberg),4
118,4606,Hochschule (Fachhochschule) Koblenz,4
119,4651,Hochschule Düsseldorf,4
120,4761,Hochschule Mittweida,4
121,4763,Hochschule (Fachhochschule) Hannover,4
122,4772,Hochschule Bonn Rhein Sieg,4
123,4843,Universität der Künste Berlin,4
124,4872,Hochschule Niederrhein,4
125,4882,Technische Hochschule Deggendorf (Hochschule für Angewandte Wissenschaften Deggendorf),4
126,4907,Hochschule für Oekonomie & Management,4
127,4972,Fachhochschule Potsdam,4
128,5007,Fachhochschule Bielefeld,4
129,5026,Hochschule Offenburg,4
130,5051,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",4
131,5087,Hochschule RheinMain,4
132,5112,Hochschule Anhalt,4
133,5118,Hochschule Heilbronn,4
134,5141,Hochschule Konstanz,4
135,5173,Hochschule Pforzheim,4
136,5207,Pädagogische Hochschule Ludwigsburg,4
137,5225,European Business School Schloss Reichartshausen,4
138,5308,Zeppelin Universität,4
139,5335,Ostbayerische Technische Hochschule Regensburg,4
140,5340,Pädagogische Hochschule Freiburg,4
141,5365,Universität Vechta Niedersachen / University of Vechta,4
142,5386,Hochschule Aalen,4
143,5441,Hochschule Ingolstadt (Fachhochschule Ingolstadt),4
144,5479,Hochschule Rhein Waal,4
145,5488,Fachhochschule Kiel,4
146,5494,Duale Hochschule Baden Württemberg DHBW,4
147,5594,Hochschule Fresenius,4
148,5608,European School of Management and Technology Berlin,4
149,5687,Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,4
150,5700,Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt,4
151,5716,Leipzig Graduate School of Management,4
152,5879,Hochschule Coburg,4
153,5890,Hochschule Emden Leer,4
154,5939,Hochschule Esslingen,4
155,6028,Ohm-Hochschule Nürnberg,4
156,6089,Jade Hochschule,4
157,6117,Kunsthochschule für Medien Köln,4
158,6135,Hochschule Mainz,4
159,6156,Hochschule Harz,4
160,6158,Technische Hochschule Wildau,4
161,6218,Kühne Logistics University,4
162,6471,Burg Giebichenstein Hochschule fur Kunst und Design Halle,4
163,6497,Handelskammer Hamburg,4
164,6574,Frankfurt University of Applied Sciences (Fachhochschule Frankfurt am Main),4
165,6605,Ostfalia Hochschule für Angewandte Wissenschaften,4
166,6633,Johann Wolfgang Goethe Universität Frankfurt am Main,4
167,6647,Hochschule Ravensburg Weingarten,4
168,6691,Fachhochschule Wedel,4
169,6770,Hochschule Landshut,4
170,6979,Technische Hochschule Ostwestfalen Lippe,4
171,7028,Hochschule für Grafik und Buchkunst Leipzig,4
172,7036,Hochschule Magdeburg Stendal,4
173,7105,(3) Duale Hochschule Baden-Württemberg DHWB Stuttgart,4
174,7152,Westsächsische Hochschule Zwickau,4
175,7179,Folkwang Universität der Künste,4
176,7200,(3) Hochschule Trier Umwelt Campus Birkenfeld,4
177,7208,Pädagogische Hochschule Karlsruhe,4
178,7225,Hochschule Weihenstephan-Triersdorf,4
179,7243,Hochschule Neu Ulm,4
180,7294,HafenCity Universität Hamburg,4
181,7323,Hochschule Trier,4
182,7340,Staatliche Hochschule fur Gestaltung Karlsruhe,4
183,7356,Fachhochschule Erfurt,3
184,7447,Hochschule für Bildende Künste Hamburg,3
185,7461,Hochschule Merseburg,3
186,7520,Hochschule Bochum,3
187,7554,Hochschule für Musik und Theater Hannover,3
188,7568,Hochschule für Musik und Theater Hamburg,3
189,7568,Hochschule Zittau Gorlitz,3
190,7588,Hochschule für Technik und Wirtschaft des Saarlandes,3
191,7588,Alanus Hochschule,3
192,7621,Hochschule Kaiserslautern,3
193,7627,Hochschule für Bildende Künste Braunschweig,3
194,7687,Hochschule für nachhaltige Entwicklung Eberswalde,3
195,7729,Kunsthochschule Berlin Weissensee,3
196,7755,Hochschule Bremerhaven,3
197,7799,Technische Hochschule Rosenheim,3
198,7823,Hochschule für Musik Franz Liszt Weimar,3
199,7846,Hochschule Neubrandenburg,3
200,7874,Hochschule für Künste Bremen,3
201,7902,Hochschule Kempten,3
202,7939,Filmakademie Baden Wurttemberg,3
203,8023,Alice Salomon Hochschule Berlin,3
204,8082,Technische Hochschule Brandenburg,3
205,8102,Macromedia Hochschule der Medien München,3
206,8134,Hochschule für Musik und Theater Leipzig,3
207,8153,Westfälische Hochschule (Fachhochschule Gelsenkirchen),3
208,8153,SRH Hochschule Heidelberg,3
209,8213,Hochschule Ulm,3
210,8239,Hochschule für Gestaltung Offenbach am Main,3
211,8248,Staatliche Akademie der Bildenden Künste Stuttgart,3
212,8268,Steinbeis Hochschule Berlin,3
213,8299,Hochschule Stralsund,3
214,8308,Universität Speyer,3
215,8365,Pädagogische Hochschule Schwäbisch Gmünd,3
216,8406,Bucerius Law School,3
217,8406,Fachhochschule des Mittelstands,3
218,8485,Hochschule Biberach,3
219,8501,Ostbayerische Technische Hochschule Amberg Weiden,3
220,8551,Fachhochschule Lubeck,3
221,8551,Musikhochschule Stuttgart,3
222,8581,International School of Management Dortmund,3
223,8606,Hochschule Schmalkalden,3
224,8617,Hochschule für Musik Detmold,3
225,8702,Graduate School of Neural and Behavioural Sciences International Max Planck Research School,3
226,8715,Berliner Technische Kunsthochschule,3
227,8732,Hochschule Geisenheim University,3
