ranking,World Rank,University,Rank
1,7,University of Oxford,5
2,11,University of Cambridge,5
3,21,UCL University College London,5
4,43,University of Edinburgh,5
5,56,Imperial College London,5
6,63,University of Manchester,5
7,74,King's College London,5
8,104,University of Leeds,5
9,112,University of Warwick,5
10,113,University of Nottingham,5
11,119,University of Glasgow,5
12,132,Bristol University,5
13,141,University of Sheffield,5
14,148,Newcastle University Newcastle upon Tyne,5
15,174,University of Exeter,5
16,177,Queen Mary University of London,5
17,182,London School of Economics and Political Science,5
18,184,University of York,5
19,221,Cardiff University,5
20,227,University of Liverpool,5
21,236,University of Leicester,5
22,243,University of Saint Andrews,5
23,261,University of Sussex,5
24,285,University of Aberdeen,5
25,286,University of Surrey,5
26,290,Durham University,5
27,301,University of East Anglia,5
28,302,Queen's University Belfast,5
29,313,Lancaster University,5
30,316,University of Bath,5
31,320,University of Southampton,5
32,328,University of Reading,5
33,358,University of Dundee,5
34,362,Loughborough University,5
35,371,Open University UK,5
36,374,University of Strathclyde,5
37,375,London School of Hygiene & Tropical Medicine,5
38,397,University of Kent,5
39,459,Brunel University,5
40,496,City University London,5
41,500,University of Plymouth,5
42,509,University of Essex,5
43,510,Heriot-Watt University,5
44,523,Swansea University,5
45,553,University of Birmingham,5
46,582,University of Portsmouth,5
47,583,Northumbria University,5
48,595,University of Stirling,5
49,621,Bangor University,5
50,628,Cranfield University,5
51,637,Manchester Metropolitan University,5
52,639,University of the West of England,5
53,641,Aston University,5
54,645,Birkbeck University of London,5
55,650,University of Ulster,5
56,663,University of Hull,4
57,666,Aberystwyth University / Prifysgol Aberystwyth,4
58,670,University of Brighton,4
59,699,Keele University,4
60,715,Nottingham Trent University,4
61,721,Goldsmiths University of London,4
62,724,University of Hertfordshire,4
63,750,Liverpool John Moores University,4
64,772,Oxford Brookes University,4
65,772,University of Salford,4
66,777,De Montfort University,4
67,787,Coventry University,4
68,802,Bournemouth University,4
69,809,Sheffield Hallam University,4
70,813,Middlesex University,4
71,814,University of Huddersfield,4
72,840,University of Central Lancashire,4
73,847,University of Greenwich,4
74,862,Institute of Cancer Research University of London,4
75,886,Kingston University London,4
76,898,Lincoln University,4
77,963,School of Oriental and African Studies University of London,4
78,966,Saint George's University of London,4
79,975,University of Bradford,4
80,980,University of Westminster,4
81,984,University of Wolverhampton,4
82,1025,Anglia Ruskin University,4
83,1046,London Business School,4
84,1082,Glasgow Caledonian University,4
85,1098,Napier University Edinburgh,4
86,1111,Leeds Beckett University (Leeds Metropolitan University),4
87,1173,Royal Holloway University of London,4
88,1177,Royal Veterinary College University of London,4
89,1264,London South Bank University,4
90,1265,University of East London,4
91,1348,Teesside University,4
92,1363,University of the West of Scotland (University of Paisley),4
93,1403,Roehampton University,4
94,1409,Birmingham City University (University of Central England),4
95,1414,University of Derby,4
96,1444,University of South Wales (Glamorgan & Wales Newport),4
97,1480,Liverpool School of Tropical Medicine,4
98,1483,University of Bedfordshire,4
99,1497,Staffordshire University,4
100,1560,Edge Hill University,4
101,1639,University of Chester,4
102,1688,London Metropolitan University,4
103,1696,Robert Gordon University,4
104,1731,University of the Arts London,4
105,1738,Canterbury Christ Church University,4
106,1826,University of Northampton,4
107,1875,Cardiff Metropolitan University (University of Wales Institute Cardiff),4
108,1900,University of Gloucestershire,4
109,2005,University of Abertay,4
110,2106,University of Bolton,4
111,2166,School of Advanced Study University of London,3
112,2177,Royal College of Art,3
113,2192,Liverpool Hope University,3
114,2219,University of Winchester,3
115,2224,Queen Margaret University,3
116,2269,University of Sunderland,3
117,2272,York Saint John University,3
118,2300,Scottish Association for Marine Science,3
119,2326,University of Cumbria,3
120,2354,Bath Spa University,3
121,2360,University of West London (Thames Valley University),3
122,2430,Southampton Solent University,3
123,2611,Harper Adams University,3
124,2824,University of Buckingham,3
