ranking,World Rank,University,Country,Rank
1,1,Harvard University,US,5
2,2,Stanford University,US,5
3,3,Massachusetts Institute of Technology,US,5
4,4,University of California Berkeley,US,5
5,5,University of Washington,US,5
6,6,University of Michigan,US,5
7,8,Columbia University New York,US,5
8,8,Cornell University,US,5
9,10,University of Pennsylvania,US,5
10,12,University of California Los Angeles UCLA,US,5
11,13,Yale University,US,5
12,14,University of Wisconsin Madison,US,5
13,15,(2) Johns Hopkins University,US,5
14,16,University of California San Diego,US,5
15,17,University of Minnesota System,US,5
16,19,Duke University,US,5
17,20,(2) Pennsylvania State University,US,5
18,22,Princeton University,US,5
19,23,University of Texas Austin,US,5
20,24,New York University,US,5
21,25,University of Chicago,US,5
22,26,Northwestern University,US,5
23,27,University of North Carolina Chapel Hill,US,5
24,28,University of Illinois Urbana Champaign,US,5
25,30,University of Southern California,US,5
26,31,University of Florida,US,5
27,32,University of California Irvine,US,5
28,34,Ohio State University,US,5
29,35,University of Maryland College Park,US,5
30,36,(2) California Institute of Technology Caltech,US,5
31,37,Purdue University,US,5
32,38,Carnegie Mellon University,US,5
33,39,Michigan State University,US,5
34,41,University of Pittsburgh,US,5
35,42,Washington University Saint Louis,US,5
36,44,Boston University,US,5
37,45,University of Arizona,US,5
38,46,Rutgers The State University of New Jersey,US,5
39,48,University of California San Francisco,US,5
40,51,University of Colorado Boulder,US,5
41,52,Arizona State University,US,5
42,57,Georgia Institute of Technology,US,5
43,59,University of Virginia,US,5
44,60,Texas A&M University,US,5
45,62,Vanderbilt University,US,5
46,64,University of Utah,US,5
47,66,University of California Santa Barbara,US,5
48,70,Emory University,US,5
49,71,Brown University,US,5
50,72,University of Iowa,US,5
51,74,North Carolina State University,US,5
52,76,Indiana University Bloomington,US,5
53,80,Virginia Polytechnic Institute and State University,US,5
54,87,Tufts University,US,5
55,88,University of Rochester,US,5
56,92,University of Massachusetts Amherst,US,5
57,92,City University of New York,US,5
58,94,Iowa State University,US,5
59,97,University of Delaware,US,5
60,101,University of Georgia,US,5
61,105,University of Maryland Baltimore,US,5
62,106,Oregon State University,US,5
63,106,University of Illinois Chicago,US,5
64,109,University at Buffalo,US,5
65,110,Colorado State University,US,5
66,114,Rice University,US,5
67,118,University of Nebraska Lincoln,US,5
68,120,University of Tennessee Knoxville,US,5
69,121,Florida State University,US,5
70,126,Dartmouth College,US,5
71,127,University of California Riverside,US,5
72,131,University of Miami,US,5
73,132,University of California Santa Cruz,US,5
74,134,University of Kentucky,US,5
75,135,George Washington University,US,5
76,137,University of Connecticut,US,5
77,139,Temple University,US,5
78,144,University of Notre Dame,US,5
79,144,University of Kansas,US,5
80,146,Georgetown University,US,5
81,147,Case Western Reserve University,US,5
82,150,University of South Florida,US,5
83,152,University of New Mexico,US,5
84,158,University of Missouri Columbia,US,5
85,163,University of Cincinnati,US,5
86,165,Washington State University Pullman,US,5
87,171,George Mason University,US,5
88,172,University of Houston,US,5
89,176,University of Alabama Birmingham,US,5
90,177,University of Oregon,US,5
91,181,University of South Carolina,US,5
92,185,Wayne State University,US,5
93,187,Northeastern University,US,5
94,190,University of Oklahoma,US,5
95,193,Stony Brook University,US,5
96,205,M D Anderson Cancer Center University of Texas,US,5
97,207,Virginia Commonwealth University,US,5
98,218,Louisiana State University,US,5
99,222,Brigham Young University,US,5
100,224,University of Central Florida,US,5
101,229,Drexel University,US,5
102,231,University of Colorado Denver,US,5
103,240,Indiana University/Purdue University Indianapolis,US,5
104,247,Georgia State University,US,5
105,248,University of California Davis,US,5
106,258,Florida International University,US,5
107,259,University of Texas Dallas,US,5
108,263,Baylor College of Medicine,US,5
109,278,Oregon Health & Science University,US,5
110,287,University of Vermont,US,5
111,291,Clemson University,US,5
112,299,Rensselaer Polytechnic Institute,US,5
113,299,University of Alabama,US,5
114,306,Boston College,US,5
115,311,West Virginia University,US,5
116,316,University of North Texas,US,5
117,323,San Diego State University,US,5
118,326,University of New Hampshire,US,5
119,326,University of Texas Southwestern Medical Center at Dallas,US,5
120,334,Utah State University,US,5
121,336,Oklahoma State University Stillwater,US,5
122,338,Wake Forest University,US,5
123,341,University at Albany,US,5
124,342,Tulane University,US,5
125,344,Auburn University,US,5
126,346,Texas Tech University,US,5
127,352,University of Texas Arlington,US,5
128,353,University of Louisville,US,5
129,358,University of Wisconsin Milwaukee,US,5
130,386,Kent State University,US,5
131,388,Kansas State University,US,5
132,389,University of Mississippi,US,5
133,392,Baylor University,US,5
134,401,Southern Methodist University,US,5
135,405,Old Dominion University,US,5
136,407,University of Arkansas Fayetteville,US,5
137,410,University of Massachusetts Medical School at Worcester,US,5
138,412,Brandeis University,US,5
139,419,Portland State University,US,5
140,421,Rochester Institute of Technology,US,5
141,424,University of Nevada Reno,US,5
142,425,University of Maryland Baltimore County,US,5
143,437,Mississippi State University,US,5
144,442,College of William & Mary,US,5
145,443,University of Texas San Antonio,US,5
146,452,University of Wyoming,US,5
147,453,Michigan Technological University,US,5
148,456,University of Nevada Las Vegas,US,5
149,457,Montana State University,US,5
150,457,Loyola University Chicago,US,5
151,460,Saint Louis University,US,5
152,461,University of North Carolina Charlotte,US,5
153,464,New Mexico State University,US,5
154,466,Medical University of South Carolina,US,5
155,468,Jefferson (Philadelphia University and Thomas Jefferson University),US,5
156,469,University of Missouri Kansas City,US,5
157,471,University of Idaho,US,5
158,475,University of Rhode Island,US,5
159,488,Illinois Institute of Technology,US,5
160,491,Lehigh University,US,5
161,496,(3) University of Texas Health Science Center at San Antonio,US,5
162,510,Northern Illinois University,US,5
163,514,Rockefeller University,US,5
164,517,University of Denver,US,5
165,520,Ohio University,US,5
166,521,Binghamton University,US,5
167,523,American University Washington DC,US,5
168,530,Medical College of Wisconsin,US,5
169,530,University of Akron,US,5
170,537,Fordham University,US,5
171,540,Northern Arizona University,US,5
172,541,University of Massachusetts Boston,US,5
173,550,Icahn School of Medicine at Mount Sinai,US,5
174,551,Florida Atlantic University,US,5
175,552,Southern Illinois University,US,5
176,556,New Jersey Institute of Technology,US,5
177,562,(3) University of Kansas Medical Center,US,5
178,563,San Francisco State University,US,5
179,567,University of Texas El Paso,US,5
180,567,Worcester Polytechnic Institute,US,5
181,573,East Carolina University,US,5
182,577,Colorado School of Mines,US,5
183,581,University of Toledo,US,5
184,589,University of Montana Missoula,US,5
185,603,University of North Carolina at Greensboro,US,5
186,607,Miami University of Ohio,US,5
187,611,North Dakota State University,US,5
188,624,(3) University of Texas Medical Branch Galveston,US,5
189,643,University of Memphis (including Lambuth),US,5
190,643,San José State University,US,5
191,650,Missouri University of Science & Technology,US,5
192,657,University of California Merced,US,5
193,662,University of Nebraska Medical Center,US,5
194,663,Wright State University,US,5
195,669,Marquette University,US,5
196,675,Depaul University,US,5
197,677,University of Massachusetts Lowell,US,5
198,679,Texas State University,US,5
199,681,University of North Dakota,US,5
200,687,Creighton University,US,5
201,689,Western Michigan University,US,5
202,690,Bowling Green State University,US,5
203,696,California State University Los Angeles,US,5
